,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,X,,,,,,,,,,,,,,,,,,,4'50,,,,4'35,
2,,X,,,,,,4'20,,,,,,,,,,,,,,,,,
3,,,X,1'25,0'45,,,0,0,,,,,,,3'10,0,,,0,,,,,1'00
4,,,,X,1'30,,0,0,0,,1'10,,,,,,0,,,0,,,,,
5,,,,,X,,,0,0,,,,,,,,0,,,0,,,,,
6,,,,,,X,,,2'25,,,1'00,,,,,,,,,,,,,
7,,,,,,,X,,,,,,,,,,,,,,,,,,
8,,,,,,,,X,,,,,,,3'35,,,,,0,,,,,
9,,,,,,,,,X,,,,,,,,,,,0,,,,,
10,,,,,,,,,,X,,,,,,,,,,1'00,1'50,,,,
11,,,,,,,,,,,X,,,,,,,,,,,,,,
12,,,,,,,,,,,,X,,,,,,,,,,,,,
13,,,,,,,,,,,,,X,,,,,,,4'20,,,,,
14,,,,,,,,,,,,,,X,,,,,3'40,,5'50,,,,
15,,,,,,,,,,,,,,,X,,,,,,,,,,
16,,,,,,,,,,,,,,,,X,,2'30,,,,,,,
17,,,,,,,,,,,,,,,,,X,,,,,,,,
18,,,,,,,,,,,,,,,,,,X,,,,,,,
19,,,,,,,,,,,,,,,,,,,X,,,,,,
20,,,,,,,,,,,,,,,,,,,,X,4'20,3'05,,,
21,,,,,,,,,,,,,,,,,,,,,X,,,1'35,
22,,,,,,,,,,,,,,,,,,,,,,X,1'15,,
23,,,,,,,,,,,,,,,,,,,,,,,X,0'50,
24,,,,,,,,,,,,,,,,,,,,,,,,X,
25,,,,,,,,,,,,,,,,,,,,,,,,,X
