,Place,Type,Elevation,Winter gear,Summer gear
1,Pico Aneto,Peak,3404,Snow,Snow
2,Tuca Alba,Peak,3122,Snow,Mountain
3,Benasque,Town,1135,Urban,Urban
4,Cerler,Town,1530,Urban,Urban
5,Ancils,Town,1140,Urban,Urban
6,Portillón de Benás,Landmark,2444,Mountain,Trail
7,Ski resort,Snow,1530,Snow,Trail
8,Baños de Benasque,Resting area,1550,Urban,Urban
9,Hospital de Benasque,Resting area,1747,Urban,Urban
10,Forau d'aiguallut,Landmark,2020,Mountain,Trail
11,Tres Cascadas,Landmark,1900,Mountain,Trail
12,Salvaguardia,Peak,2736,Snow,Mountain
13,Tuca Maladeta,Peak,3312,Snow,Mountain
14,Cap Llauset,Refugio,2425,Snow,Mountain
15,Ibón Cregüeña,Lake,2632,Snow,Mountain
16,Batisielles,Lake,2216,Mountain,Trail
17,Eriste,Town,1089,Urban,Urban
18,Ibón Eriste,Lake,2407,Snow,Mountain
19,Tempestades,Peak,3289,Snow,Snow
20,La Besurta,Resting area,1860,Trail,Trail
21,La Renclusa,Refugio,2160,Snow,Trail
22,Escaleta,Lake,2630,Snow,Mountain
23,Mulleres,Peak,3013,Snow,Snow
24,Salterillo,Lake,2460,Snow,Mountain
25,Tres Barrancos,Landmark,1460,Trail,Trail
