name,latitude,longitude,address
Pico Aneto,42.6310731,0.6566457,"Tuca d'Aneto / Maladeta de Corones, Ribagorza, Huesca, Aragón, 22487, España"
Tuca Alba,42.6556735,0.6209677,"Tuca d'Alba, Ribagorza, Huesca, Aragón, España"
Benasque,42.6052663,0.5237318,"Benasque, Ribagorza, Huesca, Aragón, España"
Cerler,42.5927404,0.5384221,"Cerler, Ribagorza, Huesca, Aragón, 22449, España"
Ancils,42.590886, 0.509863,"Ancils Road, Robeson County, North Carolina, 28372, United States"
Portillón de Benás,42.6928353,0.6409819,"Portillón de Benás, Benasque, Ribagorza, Huesca, Aragón, España"
Ski resort,42.58702185624366, 0.540552265523902,"Ski Resort, 抚白线（广福路）, 苏家屯区, 沈阳市, 辽宁省, 110100, 中国"
Baños de Benasque,42.6615824,0.5847865,"Baños de Benasque, HF28, Benasque, Ribagorza, Huesca, Aragón, España"
Hospital de Benasque,42.6842238,0.6121235,"Hospital de Benasque, Camino de Aigualluts, Benasque, Ribagorza, Huesca, Aragón, 22400, España"
Forau d'aiguallut,42.66808551533197,0.6656291675163123,
Tres Cascadas,42.59237646973381, 0.5376771936476955,"Tres Cascadas, Técpan de Galeana, Guerrero, México"
Salvaguardia,42.6249926,0.5424797,"Salvaguardia, Puente de Cubera, Benasque, Ribagorza, Huesca, Aragón, 22440, España"
Tuca Maladeta,42.6310731,0.6566457,"Tuca d'Aneto / Maladeta de Corones, Ribagorza, Huesca, Aragón, 22487, España"
Cap Llauset,42.6041432,0.6771561,"Cap de Llauset, Ribagorza, Huesca, Aragón, 22487, España"
Ibón Cregüeña,42.6408523,0.6193704,"Vivac del lago de Cregüeña, Acceso al Ibon del Alba, Benasque, Ribagorza, Huesca, Aragón, España"
Batisielles,42.6245463,0.543225,"Batisielles, Puente de Cubera, Benasque, Ribagorza, Huesca, Aragón, 22440, España"
Eriste,42.5871601,0.4898515,"Eriste, Sahún, Ribagorza, Huesca, Aragón, 22468, España"
Ibón Eriste,42.6451991,0.4671616,"Ibón de Eriste, Sahún, Ribagorza, Huesca, Aragón, España"
Tempestades,42.6261131,0.6627674,"Tuca de Tempestats / Tuca Gran de Llosás, Ribagorza, Huesca, Aragón, 22487, España"
La Besurta,42.6809441,0.6546596,"La Besurta, Benasque, Ribagorza, Huesca, Aragón, España"
La Renclusa,42.6693164,0.6508216,"Refugio de la Renclusa, Camino de Antonio, Benasque, Ribagorza, Huesca, Aragón, 22440, España"
Escaleta,42.48920649942873,0.787507402133319,"Escaleta, la Vall d'Ebo, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, 03789, España"
Mulleres,42.6247795,0.5417593,"Mulleres, Camino de La Ball o camino francés, Benasque, Ribagorza, Huesca, Aragón, 22440, España"
Salterillo,42.6554749,0.6635104,"Barranco del Salterillo, Benasque, Ribagorza, Huesca, Aragón, España"
Tres Barrancos,42.60602514645386,0.5104726601646714,"Tres Barrancos, Canton Costa Rica, Municipio Bella Flor, Nicolás Suárez, Pando, Bolivia"
